,UID,Product,BioGro #,Licensee,Scope,Type,Variety,Certificate Valid Until,Available,Store #
0,0,Avocados,10,Doug David & Jeff Brown,Primary,Orchard,Fuerte,05/07/2023,False,
1,1,Avocados,10,Doug David & Jeff Brown,Primary,Orchard,Hass,05/07/2023,False,
2,2,Avocados,10,Doug David & Jeff Brown,Primary,Orchard,Fuerte,05/07/2023,False,
3,3,Avocados,10,Doug David & Jeff Brown,Primary,Orchard,Hass,05/07/2023,False,
4,4,Avocados,12,Trevor Caines,Primary,Orchard,Hayes,30/04/2024,False,
5,5,Avocados,12,Trevor Caines,Primary,Orchard,Fuerte,30/04/2024,False,
6,6,Avocados,12,Trevor Caines,Primary,Orchard,Zutano,30/04/2024,False,
7,7,Avocados,12,Trevor Caines,Primary,Orchard,Hass,30/04/2024,False,
8,8,Kiwifruit,12,Trevor Caines,Primary,Orchard,Hayward,30/04/2024,False,
9,9,"Jim: Pasture, Native trees",15,Common Property,Primary,Pasture,,31/08/2023,False,
10,10,"Pranah Greens - Mayatita: Micro Greens, Wheatgrass, Sunflower Greens, Pepino",15,Common Property,Primary,Orchard,,31/08/2023,False,
11,11,"Common Property Nursery Production: Vegetable and Herb Seedlings, Potted Gooseberries, Passionfruit Plants, Strawberries",15,Common Property,Primary,Cropping,,31/08/2023,False,
12,12,"Thomas Organic Strawberries -Peter: Strawberries, Raspberries, Strawberry Plants, Blackberries, Tayberries",15,Common Property,Primary,Cropping,,31/08/2023,False,
13,13,"Common Property Cropping: Feijoas, Lemons, Mixed Fresh Vegetables, Mixed Fresh Herbs",15,Common Property,Primary,Orchard,,31/08/2023,False,
14,14,"Reuben: Corn, Eggplant, Herbs & Vegetables",15,Common Property,Primary,Pasture,,31/08/2023,False,
15,15,"Kapiti Organics - Alan: Salad Greens, Brassica Leaf Crops, Squash, Kohlrabi, Zucchini, Cucumbers, Fennel, Herbs",15,Common Property,Primary,Cropping,,31/08/2023,False,
16,16,"Processing of Grain - Wheat, Rye, Oats, Barley, Pearled Barley, Dinkle (spelt), Lentils",19,Milmore Downs,Non-Primary,Processing,,31/07/2023,False,
17,17,Seed Cleaning and barley pearling of certified organic grain and seed,19,Milmore Downs,Non-Primary,Contracted Operator,,31/07/2023,False,
18,18,Wheat,19,Milmore Downs,Primary,Cropping,,31/07/2023,False,
19,19,Lentils,19,Milmore Downs,Primary,Cropping,,31/07/2023,False,
20,20,Sheep,19,Milmore Downs,Primary,Livestock,,31/07/2023,False,
21,21,Lambs,19,Milmore Downs,Primary,Livestock,,31/07/2023,False,
22,22,Beef Cattle,19,Milmore Downs,Primary,Livestock,,31/07/2023,False,
23,23,Greasy Wool,19,Milmore Downs,Primary,Livestock,,31/07/2023,False,
24,24,Straw,19,Milmore Downs,Primary,Cropping,,31/07/2023,False,
25,25,Pasture,19,Milmore Downs,Primary,Pasture,,31/07/2023,False,
26,26,Barley,19,Milmore Downs,Primary,Cropping,,31/07/2023,False,
27,27,Oats,19,Milmore Downs,Primary,Cropping,,31/07/2023,False,
28,28,Dinkle (spelt),19,Milmore Downs,Primary,Cropping,,31/07/2023,False,
29,29,Rye,19,Milmore Downs,Primary,Cropping,,31/07/2023,False,
30,30,Hay,19,Milmore Downs,Primary,Pasture,,31/07/2023,False,
31,31,Baleage,19,Milmore Downs,Primary,Pasture,,31/07/2023,False,
32,32,Beef,40,JC Thevenard & SE Miller-Thevenard Partnership,Primary,Livestock,,31/07/2023,False,
33,33,Lambs,40,JC Thevenard & SE Miller-Thevenard Partnership,Primary,Livestock,,31/07/2023,False,
34,34,Milk,40,JC Thevenard & SE Miller-Thevenard Partnership,Primary,Livestock,,31/07/2023,False,
35,35,Dairy Cows,40,JC Thevenard & SE Miller-Thevenard Partnership,Primary,Livestock,,31/07/2023,False,
36,36,Pasture,40,JC Thevenard & SE Miller-Thevenard Partnership,Primary,Pasture,,31/07/2023,False,
37,37,Cull Cows for NOP Meat,40,JC Thevenard & SE Miller-Thevenard Partnership,Primary,Livestock,,31/07/2023,False,
38,38,Sheep,40,JC Thevenard & SE Miller-Thevenard Partnership,Primary,Livestock,,31/07/2023,False,
39,39,Greasy Wool,40,JC Thevenard & SE Miller-Thevenard Partnership,Primary,Livestock,,31/07/2023,False,
40,40,Pasture,56,Robert Jackie and Mark Aitchison,Primary,Pasture,,31/08/2023,False,
41,41,Baleage,56,Robert Jackie and Mark Aitchison,Primary,Pasture,,31/08/2023,False,
42,42,Greasy wool,56,Robert Jackie and Mark Aitchison,Primary,Livestock,,31/08/2023,False,
43,43,Greasy wool,56,Robert Jackie and Mark Aitchison,Primary,Livestock,,31/08/2023,False,
44,44,Barley,56,Robert Jackie and Mark Aitchison,Primary,Cropping,,31/08/2023,False,
45,45,Lambs,56,Robert Jackie and Mark Aitchison,Primary,Livestock,,31/08/2023,False,
46,46,Cattle,56,Robert Jackie and Mark Aitchison,Primary,Livestock,,31/08/2023,False,
47,47,Cattle,56,Robert Jackie and Mark Aitchison,Primary,Livestock,,31/08/2023,False,
48,48,Lambs,56,Robert Jackie and Mark Aitchison,Primary,Livestock,,31/08/2023,False,
49,49,Wheat,56,Robert Jackie and Mark Aitchison,Primary,Cropping,,31/08/2023,False,
50,50,Pasture,56,Robert Jackie and Mark Aitchison,Primary,Pasture,,31/08/2023,False,
51,51,Pasture,56,Robert Jackie and Mark Aitchison,Primary,Pasture,,31/08/2023,False,
52,52,Sheep,56,Robert Jackie and Mark Aitchison,Primary,Livestock,,31/08/2023,False,
53,53,Sheep,56,Robert Jackie and Mark Aitchison,Primary,Livestock,,31/08/2023,False,
54,54,Barley Straw,56,Robert Jackie and Mark Aitchison,Primary,Cropping,,31/08/2023,False,
55,55,Wheat Straw,56,Robert Jackie and Mark Aitchison,Primary,Cropping,,31/08/2023,False,
56,56,Mandarins - Encore & Miho,81,Mike and Pat Collins,Primary,Orchard,Mandarin,29/02/2024,False,
57,57,Oranges - Navel & Valencia,81,Mike and Pat Collins,Primary,Orchard,Orange,29/02/2024,False,
58,58,Export of organic wine,99,The Millton Vineyard Ltd,Non-Primary,Exporter,,29/02/2024,False,
59,59,2019 Cosmo White,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
60,60,2019 Chardonnay - Opou Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
61,61,2019 Viognier - Riverpoint Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
62,62,2019 Libiamo Gewurztraminer,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
63,63,2019 Libiamo Field Blend,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
64,64,2020 Sirius White,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
65,65,2020 Chenin Blanc Te Arai Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
66,66,2020 Riesling Opou Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
67,67,2020 Marsanne Opou Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
68,68,2020 Viognier Riverpoint Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
69,69,2020 Chardonnay Riverpoint Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
70,70,2020 Gerwurztraminer Riverpoint Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
71,71,2020 La Cote Pinot Noir,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
72,72,2020 Muskats @ Dawn,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
73,73,2020 Libiamo Gewurztraminer,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
74,74,2020 Libiamo Field Blend,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
75,75,2020 Pinot Noir Naboth's Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
76,76,2020 Syrah The Crucible,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
77,77,2021 Opou White,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
78,78,2021 Chenin Blanc La Bas,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
79,79,2022 Rose,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
80,80,2021 Syrah Opou Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
81,81,Amrita Grape Juice,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
82,82,2021 Cosmo White,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
83,83,2021 Libiamo Chenin Blanc,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
84,84,2021 Marsanne Opou Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
85,85,2021 Muskats @ Dawn,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
86,86,2021 Chardonnay Naboth's Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
87,87,"2021 Cosmo Red - Malbec, Syrah, Viognier",99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
88,88,2021 Riesling Opou Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
89,89,2021 Sirius White,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
90,90,2021 Clos Sam Viognier,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
91,91,Production and bottling of organic wine,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
92,92,2019 Sirius White,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
93,93,"2019 Cosmo Red - Malbec, Syrah, Viognier",99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
94,94,2019 La Cote Pinot Noir,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
95,95,"2020 Cosmo Red - Malbec, Syrah, Viognier",99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
96,96,2020 Cosmo White,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
97,97,2020 Chardonnay Opou Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
98,98,2020 Syrah Opou Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
99,99,2020 Libiamo Muscat,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
100,100,2020 Libiamo Chenin Blanc,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
101,101,2020 Libiamo Red,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
102,102,2020 Rose,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
103,103,2020 Chardonnay Naboth's Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
104,104,2020 Viognier Les Arbres,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
105,105,2023 Riesling Opou Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
106,106,2023 Rose,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
107,107,2021 Chenin Blanc Clos Monique,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
108,108,2022 Riesling Opou Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
109,109,2021 Chenin Blanc La Bas,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
110,110,2021 Opou White,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
111,111,2021 La Cote Pinot Noir,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
112,112,2021 Libiamo Field Blend,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
113,113,2021 Libiamo Muscat,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
114,114,2021 Libiamo Red,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
115,115,2021 Chardonnay Opou Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
116,116,2021 Chenin Blanc Te Arai Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
117,117,2021 Pinot Noir Naboth's Vineyard,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
118,118,2021 Rose,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
119,119,2021 Chenin Blanc Clos Monique,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
120,120,2021 Syrah The Crucible,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
121,121,2021 Viognier Les Arbres,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
122,122,2021 Libiamo Chardonnay,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
123,123,Production and bottling of Grape Juice,99,The Millton Vineyard Ltd,Non-Primary,Processing,,29/02/2024,False,
124,124,Olives,99,The Millton Vineyard Ltd,Primary,Orchard,,29/02/2024,False,
125,125,Wine Grapes,99,The Millton Vineyard Ltd,Primary,Viticulture,Muscat,29/02/2024,False,
126,126,Wine Grapes - Naboths,99,The Millton Vineyard Ltd,Primary,Viticulture,Chardonnay,29/02/2024,False,
127,127,Olives,99,The Millton Vineyard Ltd,Primary,Orchard,,29/02/2024,False,
128,128,Wine Grapes,99,The Millton Vineyard Ltd,Primary,Viticulture,Marsanne,29/02/2024,False,
129,129,Wine Grapes - Naboths,99,The Millton Vineyard Ltd,Primary,Viticulture,Pinot Noir,29/02/2024,False,
130,130,Wine Grapes - Clos de St Anne,99,The Millton Vineyard Ltd,Primary,Viticulture,Pinot Noir,29/02/2024,False,
131,131,Wine Grapes,99,The Millton Vineyard Ltd,Primary,Viticulture,Syrah,29/02/2024,False,
132,132,Wine Grapes,99,The Millton Vineyard Ltd,Primary,Viticulture,Chenin Blanc,29/02/2024,False,
133,133,Wine Grapes,99,The Millton Vineyard Ltd,Primary,Viticulture,Malbec,29/02/2024,False,
134,134,Wine Grapes,99,The Millton Vineyard Ltd,Primary,Viticulture,Viognier,29/02/2024,False,
135,135,Wine Grapes,99,The Millton Vineyard Ltd,Primary,Viticulture,Chardonnay,29/02/2024,False,
136,136,Oranges,99,The Millton Vineyard Ltd,Primary,Orchard,Orange,29/02/2024,False,
137,137,Wine Grapes,99,The Millton Vineyard Ltd,Primary,Viticulture,Chenin Blanc,29/02/2024,False,
138,138,Wine Grapes,99,The Millton Vineyard Ltd,Primary,Viticulture,Riesling,29/02/2024,False,
139,139,Pasture,99,The Millton Vineyard Ltd,Primary,Pasture,,29/02/2024,False,
140,140,Wine Grapes,99,The Millton Vineyard Ltd,Primary,Viticulture,Syrah,29/02/2024,False,
141,141,Cattle,99,The Millton Vineyard Ltd,Primary,Livestock,,29/02/2024,False,
142,142,Wine Grapes,99,The Millton Vineyard Ltd,Primary,Viticulture,Chenin Blanc,29/02/2024,False,
143,143,Wine Grapes,99,The Millton Vineyard Ltd,Primary,Viticulture,Viognier,29/02/2024,False,
144,144,Contract operator: Quikstart Seedlings 2007 Ltd - spearmint seedling growing,105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
145,145,Balage,105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
146,146,Silage,105,Tim Chamberlain,Primary,Pasture,,31/10/2023,False,
147,147,Wheat,105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
148,148,Barley,105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
149,149,Linseed,105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
150,150,Barley Leaf,105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
151,151,Beef Cattle,105,Tim Chamberlain,Primary,Livestock,,31/10/2023,False,
152,152,Flowering Oat Tops,105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
153,153,Aberherald White Clover Seed,105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
154,154,Spearmint and Mint - Leaf and Seed (2021 seedlings),105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
155,155,Carrots,105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
156,156,Brassicas (2022 seedlings),105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
157,157,Pasture,105,Tim Chamberlain,Primary,Pasture,,31/10/2023,False,
158,158,Hay,105,Tim Chamberlain,Primary,Pasture,,31/10/2023,False,
159,159,Crop Residue Straw,105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
160,160,"Echinacea leaf, root & seed",105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
161,161,Wheat Leaf,105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
162,162,Peas,105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
163,163,"Trial Leaf products - Lucerne, Spinach, Kale, Corn salad (Lambs Lettuce), Plantain, Chicory and Stinging Nettle",105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
164,164,Lambs,105,Tim Chamberlain,Primary,Livestock,,31/10/2023,False,
165,165,Greasy Wool,105,Tim Chamberlain,Primary,Livestock,,31/10/2023,False,
166,166,Grazing,105,Tim Chamberlain,Primary,Pasture,,31/10/2023,False,
167,167,Fennel Seed and Leaf,105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
168,168,Wheat and Barley Leaf - Area leased to George,105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
169,169,"Mixed Veg, Herbs - Area leased to George",105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
170,170,Spearmint and Mint - Leaf and Seed (2022 seedlings),105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
171,171,Lemon Balm,105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
172,172,Pumpkin Seeds and Pumpkin,105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
173,173,Onions,105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
174,174,Melons (2022 seedlings),105,Tim Chamberlain,Primary,Cropping,,31/10/2023,False,
175,175,Lucerne,112,Russell - Bowen Partnership,Primary,Cropping,,31/07/2023,False,
176,176,Oat Baleage,112,Russell - Bowen Partnership,Primary,Cropping,,31/07/2023,False,
177,177,Pumpkin,112,Russell - Bowen Partnership,Primary,Cropping,,31/07/2023,False,
178,178,Maize,112,Russell - Bowen Partnership,Primary,Cropping,,31/07/2023,False,
179,179,Mixed Herbal Ley Baleage,112,Russell - Bowen Partnership,Primary,Cropping,,31/07/2023,False,
180,180,"Feijoas, Grapefruit",112,Russell - Bowen Partnership,Primary,Orchard,,31/07/2023,False,
181,181,Bay Leaves,112,Russell - Bowen Partnership,Primary,Cropping,,31/07/2023,False,
182,182,Pea Baleage,112,Russell - Bowen Partnership,Primary,Pasture,,31/07/2023,False,
183,183,Maize,112,Russell - Bowen Partnership,Primary,Cropping,,31/07/2023,False,
184,184,Wheat,112,Russell - Bowen Partnership,Primary,Cropping,,31/07/2023,False,
185,185,Lambs,112,Russell - Bowen Partnership,Primary,Livestock,,31/07/2023,False,
186,186,Pea Straw,112,Russell - Bowen Partnership,Primary,Cropping,,31/07/2023,False,
187,187,Beef,112,Russell - Bowen Partnership,Primary,Livestock,,31/07/2023,False,
188,188,Barley,112,Russell - Bowen Partnership,Primary,Cropping,,31/07/2023,False,
189,189,Lucerne,112,Russell - Bowen Partnership,Primary,Cropping,,31/07/2023,False,
190,190,Oats,112,Russell - Bowen Partnership,Primary,Cropping,,31/07/2023,False,
191,191,Spelt,112,Russell - Bowen Partnership,Primary,Cropping,,31/07/2023,False,
192,192,Oat Baleage,112,Russell - Bowen Partnership,Primary,Cropping,,31/07/2023,False,
193,193,Pasture,112,Russell - Bowen Partnership,Primary,Pasture,,31/07/2023,False,
194,194,Lucerne Baleage,112,Russell - Bowen Partnership,Primary,Cropping,,31/07/2023,False,
195,195,Sheep,112,Russell - Bowen Partnership,Primary,Livestock,,31/07/2023,False,
196,196,Clover,112,Russell - Bowen Partnership,Primary,Cropping,,31/07/2023,False,
197,197,Grazing,112,Russell - Bowen Partnership,Primary,Livestock,,31/07/2023,False,
198,198,Organic Apple Juice,120,Mason's Farm,Non-Primary,Processing,,30/06/2023,False,
199,199,Pasture,120,Mason's Farm,Primary,Pasture,,30/06/2023,False,
200,200,"Vegetables - Carrots, Garlic, Gherkin, Kale, Leeks, Brown Onions, Red Onions, Potatoes, Pumpkin, Salad Mix, Spinach Beet",120,Mason's Farm,Primary,Cropping,,30/06/2023,False,
201,201,"Apples, Pears",120,Mason's Farm,Primary,Orchard,,30/06/2023,False,
202,202,"Herbs, Basil, Parsley",120,Mason's Farm,Primary,Cropping,,30/06/2023,False,
203,203,Table Grapes,130,Windsong Orchard,Primary,Orchard,,30/11/2023,False,
204,204,Blueberries,130,Windsong Orchard,Primary,Cropping,,30/11/2023,False,
205,205,Feijoas,130,Windsong Orchard,Primary,Orchard,,30/11/2023,False,
206,206,Raspberries,130,Windsong Orchard,Primary,Orchard,,30/11/2023,False,
207,207,Walnuts,130,Windsong Orchard,Primary,Orchard,,30/11/2023,False,
208,208,Plums,130,Windsong Orchard,Primary,Orchard,,30/11/2023,False,
209,209,Citrus,130,Windsong Orchard,Primary,Orchard,,30/11/2023,False,
210,210,Flowers,130,Windsong Orchard,Primary,Cropping,,30/11/2023,False,
211,211,Avocados,130,Windsong Orchard,Primary,Orchard,,30/11/2023,False,
212,212,Mixed Pipfruit,138,Okainamu Farm,Primary,Orchard,,31/03/2024,False,
213,213,Herbs,138,Okainamu Farm,Primary,Cropping,,31/03/2024,False,
214,214,Citrus,138,Okainamu Farm,Primary,Orchard,,31/03/2024,False,
215,215,Nuts,138,Okainamu Farm,Primary,Orchard,,31/03/2024,False,
216,216,Kiwifruit,138,Okainamu Farm,Primary,Orchard,,31/03/2024,False,
217,217,Fresh Vegetables,138,Okainamu Farm,Primary,Cropping,,31/03/2024,False,
218,218,Raspberries,138,Okainamu Farm,Primary,Cropping,,31/03/2024,False,
219,219,Feijoas,138,Okainamu Farm,Primary,Orchard,,31/03/2024,False,
220,220,Olives,138,Okainamu Farm,Primary,Orchard,,31/03/2024,False,
221,221,Cattle,138,Okainamu Farm,Primary,Livestock,,31/03/2024,False,
222,222,Stonefruit,138,Okainamu Farm,Primary,Orchard,,31/03/2024,False,
223,223,Table Grapes,138,Okainamu Farm,Primary,Orchard,,31/03/2024,False,
224,224,Pasture,138,Okainamu Farm,Primary,Pasture,,31/03/2024,False,
225,225,Kiwifruit,145,Ian Douglas,Primary,Orchard,Hayward,31/01/2024,False,
226,226,Plums,145,Ian Douglas,Primary,Orchard,,31/01/2024,False,
227,227,Kiwifruit -Blocks 1-8,147,Biofields Bruce Johnston,Primary,Orchard,Hayward,29/02/2024,False,
228,228,Avocados,147,Biofields Bruce Johnston,Primary,Orchard,Hass,29/02/2024,False,
229,229,Pasture,189,Westwood Organics Ltd,Primary,Pasture,,31/05/2023,False,
230,230,Tart Cherries,189,Westwood Organics Ltd,Primary,Orchard,,31/05/2023,False,
231,231,Herbs - Thyme,198,Hislop Group Ltd TA Hislops Wholefoods Limited,Primary,Cropping,,31/05/2023,False,
232,232,Extra Paddock (Pasture),198,Hislop Group Ltd TA Hislops Wholefoods Limited,Primary,Pasture,,31/05/2023,False,
233,233,Orchard (Mixed Fruit),198,Hislop Group Ltd TA Hislops Wholefoods Limited,Primary,Orchard,,31/05/2023,False,
234,234,Vegetables and Pasture,198,Hislop Group Ltd TA Hislops Wholefoods Limited,Primary,Cropping,,31/05/2023,False,
235,235,Pasture,200,Philip and Jenny Sloan,Primary,Pasture,,31/07/2023,False,
236,236,Dairy Grazing,200,Philip and Jenny Sloan,Primary,Livestock,,31/07/2023,False,
237,237,Sheep,200,Philip and Jenny Sloan,Primary,Livestock,,31/07/2023,False,
238,238,Lambs,200,Philip and Jenny Sloan,Primary,Livestock,,31/07/2023,False,
239,239,Greasy Wool,200,Philip and Jenny Sloan,Primary,Livestock,,31/07/2023,False,
240,240,Pasture,209,Haurangi Heartland Ltd,Primary,Pasture,,31/08/2023,False,
241,241,Hay,209,Haurangi Heartland Ltd,Primary,Pasture,,31/08/2023,False,
242,242,Greasy Wool,209,Haurangi Heartland Ltd,Primary,Livestock,,31/08/2023,False,
243,243,Sheep,209,Haurangi Heartland Ltd,Primary,Livestock,,31/08/2023,False,
244,244,Dairy Grazing,209,Haurangi Heartland Ltd,Primary,Livestock,,31/08/2023,False,
245,245,Baleage,209,Haurangi Heartland Ltd,Primary,Cropping,,31/08/2023,False,
246,246,Straw,209,Haurangi Heartland Ltd,Primary,Pasture,,31/08/2023,False,
247,247,Mixed Cropping,209,Haurangi Heartland Ltd,Primary,Cropping,,31/08/2023,False,
248,248,Lambs,209,Haurangi Heartland Ltd,Primary,Livestock,,31/08/2023,False,
249,249,Cattle,209,Haurangi Heartland Ltd,Primary,Livestock,,31/08/2023,False,
250,250,Wheat,209,Haurangi Heartland Ltd,Primary,Cropping,,31/08/2023,False,
251,251,"Pasture (Swamp, Long Ridge, Gum Ridge, Pine Ridge blocks), Sabbatical fallowing (Carbon sequestering since 1998)",215,Tim and Helen Gow,Primary,Pasture,,30/11/2023,False,
252,252,Stud Shire Sheep,215,Tim and Helen Gow,Primary,Livestock,,30/11/2023,False,
253,253,Apples,215,Tim and Helen Gow,Primary,Orchard,,30/11/2023,False,
254,254,Stud Tufty Cattle,215,Tim and Helen Gow,Primary,Livestock,,30/11/2023,False,
255,255,"Radiata Pine, Oregon Pine, Redwood, Macrocarpa, Eucalyptus, Natives",215,Tim and Helen Gow,Primary,Cropping,,30/11/2023,False,
256,256,Geese,215,Tim and Helen Gow,Primary,Livestock,,30/11/2023,False,
257,257,"Pasture, Sabbatical fallowing (Carbon sequestering since 1998)",215,Tim and Helen Gow,Primary,Pasture,,30/11/2023,False,
258,258,Lambs,215,Tim and Helen Gow,Primary,Livestock,,30/11/2023,False,
259,259,Stud Wiltshire Sheep,215,Tim and Helen Gow,Primary,Livestock,,30/11/2023,False,
260,260,Pears,215,Tim and Helen Gow,Primary,Orchard,,30/11/2023,False,
261,261,Avocados,233,Eco-Logic Concepts Ltd,Primary,Orchard,,31/07/2023,False,
262,262,Feijoas,233,Eco-Logic Concepts Ltd,Primary,Orchard,,31/07/2023,False,
263,263,Tamarillos,233,Eco-Logic Concepts Ltd,Primary,Orchard,,31/07/2023,False,
264,264,Grapes,233,Eco-Logic Concepts Ltd,Primary,Orchard,,31/07/2023,False,
265,265,Lemonade,233,Eco-Logic Concepts Ltd,Primary,Orchard,,31/07/2023,False,
266,266,Avocados - Block 9,233,Eco-Logic Concepts Ltd,Primary,Orchard,,31/07/2023,False,
267,267,Limes,233,Eco-Logic Concepts Ltd,Primary,Orchard,,31/07/2023,False,
268,268,"Pasture, Headlands and Greenhouse",233,Eco-Logic Concepts Ltd,Primary,Pasture,,31/07/2023,False,
269,269,Harvesting and Packing of BioGro Certified Vegetables,242,Wai Shing Ltd,Non-Primary,Packing Service,,31/08/2023,False,
270,270,Leafy Greens,242,Wai Shing Ltd,Primary,Cropping,,31/08/2023,False,
271,271,Squash,242,Wai Shing Ltd,Primary,Cropping,,31/08/2023,False,
